Date,Sales_Total_Nominal,Inventories_Total_Nominal,Inventories_to_Sales_Ratio_Nominal,Sales_YoY_Growth
2014-08-01,472959,574721,1.2151602993071282,5.199250863020044
2014-09-01,472578,576307,1.2194960408652116,4.6454930148206675
2014-10-01,470303,579948,1.2331369351248025,3.2872500466689436
2014-11-01,468813,584413,1.2465801929554001,2.0854201325680055
2014-12-01,463264,585484,1.263823651308973,0.41574003025928175
2015-01-01,450488,586215,1.3012888245635843,-1.2011886877282274
2015-02-01,445292,589469,1.3237808000143725,-2.8599351660769323
2015-03-01,444087,591813,1.3326510345945728,-4.79756295206939
2015-04-01,450759,592347,1.3141102007946597,-4.202875450285315
2015-05-01,452047,595780,1.3179603005882132,-4.2532957164158836
2015-06-01,453170,600675,1.3254959507469604,-3.8500708654066518
2015-07-01,452773,599473,1.3240034189317826,-4.58556096204058
2015-08-01,446940,600838,1.3443370474784087,-5.501322524785445
2015-09-01,448922,602332,1.3417297436971234,-5.005734503087322
2015-10-01,448567,601648,1.3412667449901576,-4.621701328717864
2015-11-01,442336,599546,1.3554085582001012,-5.6476676201385185
2015-12-01,437704,596850,1.3635927476102572,-5.517372383781172
2016-01-01,432601,596954,1.3799182156305696,-3.970583012200102
2016-02-01,429044,593029,1.3822102162016017,-3.64884165895637
2016-03-01,433017,594164,1.3721493613414715,-2.492754798046326
2016-04-01,436930,599582,1.372261002906644,-3.067936524839221
2016-05-01,437704,602109,1.3756077166304168,-3.172900163036141
2016-06-01,446626,601952,1.347776439347463,-1.4440496943751824
2016-07-01,444638,601327,1.3523967812017865,-1.7967060756714726
2016-08-01,447396,600181,1.341498359395256,0.10202711773392714
2016-09-01,447522,601913,1.3449908607844978,-0.31185818471806126
2016-10-01,452825,603317,1.3323403080660299,0.9492450403172814
2016-11-01,453790,607748,1.3392714691817802,2.589434276206326
2016-12-01,463916,611347,1.3177967563093318,5.988521923491685
2017-01-01,467006,611182,1.3087240849153972,7.953056049338758
2017-02-01,468756,612277,1.3061742143033903,9.255927131016861
2017-03-01,466018,613445,1.3163547330789798,7.6211788451723494
2017-04-01,467585,610990,1.3066929007560122,7.015997985947409
2017-05-01,462654,614478,1.328158840083518,5.700199221391622
2017-06-01,467334,619512,1.325630063295202,4.636541535871186
2017-07-01,467671,622492,1.3310468256530765,5.180169036384652
2017-08-01,475468,626572,1.3178005670202833,6.274530840686987
2017-09-01,482216,630042,1.3065555684589478,7.75246803509102
2017-10-01,488448,628395,1.286513610455975,7.866835974162201
2017-11-01,495780,631734,1.2742224373714148,9.253178783137583
2017-12-01,504945,632638,1.2528849676697462,8.844057976012909
2018-01-01,493565,638351,1.2933473807907774,5.687078966865533
2018-02-01,499103,642770,1.2878504036241016,6.473943800186022
2018-03-01,498504,644648,1.2931651501291865,6.970975370050092
2018-04-01,503801,644560,1.27939404645882,7.745329726146055
2018-05-01,516576,644397,1.2474389054079167,11.654930034107558
2018-06-01,512545,644857,1.2581470895238467,9.674237269276365
2018-07-01,513949,647720,1.2602806893290968,9.895417932691997
2018-08-01,516054,653730,1.2667860340196957,8.53601083563984
2018-09-01,515401,658230,1.2771220855217589,6.881770824692679
2018-10-01,515864,662504,1.2842609680070716,5.612879979035634
2018-11-01,511955,664131,1.2972448750378451,3.2625358021703077
2018-12-01,505870,671324,1.327068219107676,0.18318826802918853
2019-01-01,500392,676979,1.3528973284944603,1.3832018072594376
2019-02-01,502984,679883,1.351699060009861,0.7775950054397684
2019-03-01,508969,679184,1.3344309771322025,2.099281048898294
2019-04-01,507196,685265,1.3510851820597953,0.673877185634808
2019-05-01,512071,686322,1.3402867961669378,-0.8720885213405194
2019-06-01,508172,686775,1.3514617098147872,-0.8531933781424028
2019-07-01,510875,686576,1.3439217029606068,-0.5981138206320069
2019-08-01,508160,686027,1.350021646725441,-1.5296848779391303
2019-09-01,507115,682270,1.3453950287410152,-1.6076802334492934
2019-10-01,501658,679933,1.355371587814806,-2.753826589953945
2019-11-01,509455,680238,1.3352268600759636,-0.4883241691164275
2019-12-01,507244,680111,1.3407965397323576,0.2716112835313478
2020-01-01,511303,675006,1.3201682759537887,2.1804904954515703
2020-02-01,506362,669257,1.3216967307973346,0.6715919393062153
2020-03-01,478634,663356,1.38593580898975,-5.960087942487657
2020-04-01,397834,661595,1.662992604955836,-21.562078565288367
2020-05-01,422261,653921,1.5486180348173286,-17.538583516738893
2020-06-01,462140,645738,1.3972778811615527,-9.05835032233181
2020-07-01,488373,646477,1.3237361606804634,-4.404599951064347
2020-08-01,495111,650134,1.313107565778179,-2.56789200251889
2020-09-01,495882,654119,1.319102125102343,-2.215079419855459
2020-10-01,508140,661649,1.302099815011611,1.2921153455142775
2020-11-01,510374,663130,1.2993020804351318,0.18038884690503298
2020-12-01,520227,666216,1.2806255730671419,2.559517707454395
2021-01-01,542513,675500,1.2451314530711706,6.104012689149085
2021-02-01,532794,681252,1.27864052523114,5.219980962236503
2021-03-01,557352,688629,1.2355369676613701,16.446387009698427
2021-04-01,567535,693029,1.2211211643334772,42.65623350442647
2021-05-01,570524,702421,1.2311857169899951,35.111696320522135
2021-06-01,581922,710180,1.220404109141775,25.91898558878263
2021-07-01,596248,718124,1.20440487850693,22.088649454412913
2021-08-01,588645,727324,1.2355902114177475,18.891521295224713
